Country,Population,Region,"Estimated prevalence of modern slavery per 1,000 population",Estimated number of people in modern slavery,Governance issues,Effects of conflict,Total Vulnerability score (%),"Risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",Government response total (%),Survivors of slavery are identified and supported to exit and remain out of modern slavery (%)
Afghanistan,38928000,Asia and the Pacific,12.9599723815918,505000,74.80903648400393,98.44693347295656,86.1662322798377,,,
Albania,2878000,Europe and Central Asia,11.81394481658936,34000,38.90938684224655,21.60399903978802,39.50559814524699,78.57142639160156,61.53845977783203,54.54545593261719
Algeria,43851000,Africa,1.922730684280396,84000,53.95780224906638,33.52019081287101,43.05974622669564,42.85714340209961,35.89743423461914,22.72727203369141
Angola,32866000,Africa,4.136548519134521,136000,51.22330325001402,29.19893720865785,61.07281247183403,28.5714282989502,43.58974456787109,59.09090805053711
Antigua and Barbuda,98000,Americas,,,,,,50,43.58974456787109,36.3636360168457
Argentina,45196000,Americas,4.178747653961182,189000,40.58376741522574,15.1535275563532,35.51249048667636,64.28571319580078,57.69230651855469,50
Armenia,2963000,Europe and Central Asia,8.938274383544922,26000,59.73514421005336,21.23861776044153,48.14495723761485,50,53.84615325927734,63.6363639831543
Australia,25500000,Asia and the Pacific,1.609539031982422,41000,3.350480924914742,26.4736277683398,6.81399870378826,78.57142639160156,66.66666412353516,63.6363639831543
Austria,9006000,Europe and Central Asia,1.855276346206665,17000,10.19441558645745,19.00902410079689,8.004145492813043,71.42857360839844,61.53845977783203,59.09090805053711
Azerbaijan,10139000,Europe and Central Asia,10.56178951263428,107000,66.60005997107454,33.27270637592668,56.89814924585747,64.28571319580078,58.97435760498047,63.6363639831543
Bahamas,393000,Americas,,,,,,50,52.56410217285156,68.18181610107422
Bahrain,1702000,Arab States,6.736337385130479,11000,51.48061886851468,13.4333287330228,40.31263365089431,57.14285659790039,55.12820434570313,77.2727279663086
Bangladesh,164689000,Asia and the Pacific,7.056299209594727,1162000,52.36007323481024,52.9612353460142,58.09061074311966,50,48.71794891357422,40.90909194946289
Barbados,287000,Americas,,,,,,50,41.02564239501953,36.3636360168457
Belarus,9449000,Europe and Central Asia,11.34423828125,107000,52.71936351648357,17.77573139270257,41.05485713028258,50,47.43589782714844,63.6363639831543
Belgium,11590000,Europe and Central Asia,0.9710318446159363,11000,14.92273147998902,28.6413685590825,10.80593386164617,71.42857360839844,58.97435760498047,45.45454406738281
Belize,398000,Americas,,,,,,42.85714340209961,44.87179565429688,50
Benin,12123000,Africa,3.042785406112671,37000,49.35994350318878,18.3120243260178,48.04940072709778,42.85714340209961,39.74359130859375,31.81818199157715
Bolivia,11673000,Americas,7.15239953994751,83000,47.87165013807748,19.9102065973415,46.69743586023478,57.14285659790039,47.43589782714844,31.81818199157715
